id,temple_code,temple_name,temple_type,sect,registration_type,established_date,has_visung,visung_date,status_date,subdistrict,district,province,postal_code,phone,fax,email,website,village,house_no,moo,soi,road,note,province_id,district_id,subdistrict_id,order_no,created_at,updated_at
27501,3501201003,มะกับตอง,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-08-04,ไม่ได้รับ,-,,ยุหว่า,สันป่าตอง,เชียงใหม่,50120,,,,,,,11,,,,,,,,,
27502,3502202003,มะกับตองหลวง,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-10-10,ไม่ได้รับ,-,//,ทุ่งปี๊,แม่วาง,เชียงใหม่,50360,,,,,,,11,,,,,,,,,
27503,3502201008,มะกายอน,วัดราษฎร์,ธรรมยุต,ตั้งวัด,2560-01-11,ได้รับ,2562-07-09,//,บ้านกาด,แม่วาง,เชียงใหม่,50360,,,,,,,4,,,,,,,,,
27504,4360601002,มะเกลือ,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-08-21,ได้รับ,2544-03-07,,บ้านกอก,จัตุรัส,ชัยภูมิ,36130,,,,,,,6,,,,,,,,,
27505,2730702001,มะเกลือ,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-08-07,ได้รับ,1906-11-01,,คลองโยง,พุทธมณฑล,นครปฐม,73170,,,,,,,4,,,,,,,,,
27506,4300914003,มะเกลือ,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-12-06,ได้รับ,2535-02-10,,มะค่า,โนนไทย,นครราชสีมา,30220,,,,,,,3,,,บันทึกวัดที่ได้รับพระราชทานวิสุงคามสีมา งวดที่ 2 ประจำปี 2566 (พส.02/999 ลว.15/05/67),,,,,,
27507,4301008006,มะเกลือ,วัดราษฎร์,มหานิกาย,ตั้งวัด,2526-03-31,ได้รับ,2540-06-12,,มะค่า,โนนสูง,นครราชสีมา,30160,,,,,,,2,,,,,,,,,
27508,4301807001,มะเกลือเก่า,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-02-08,ได้รับ,1906-10-17,,มะเกลือเก่า,สูงเนิน,นครราชสีมา,30170,,,,,,,1,,,,,,,,,
27509,4301808001,มะเกลือใหม่,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-09-05,ได้รับ,1906-11-02,,มะเกลือใหม่,สูงเนิน,นครราชสีมา,30170,,,,,,,1,,,,,,,,,
27510,2220501003,มะขาม,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-08-10,ได้รับ,1906-11-12,,มะขาม,มะขาม,จันทบุรี,22150,,,,,,,1,,,,,,,,,
27511,3501301014,มะขาม,วัดราษฎร์,มหานิกาย,ตั้งวัด,2558-08-21,ไม่ได้รับ,-,,สันกำแพง,สันกำแพง,เชียงใหม่,50130,,,,,,,14,,,,,,,,,
27512,5800303001,มะขาม,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-02-02,ได้รับ,1906-11-15,,ท่าดี,ลานสกา,นครศรีธรรมราช,80230,,,,,,,5,,,,,,,,,
27513,4311603001,มะขาม,วัดราษฎร์,มหานิกาย,ตั้งวัด,2542-04-26,ไม่ได้รับ,-,,ตาเสา,ห้วยราช,บุรีรัมย์,31000,,,,,,,5,,,,,,,,,
27514,2130103003,มะขาม,วัดราษฎร์,มหานิกาย,ตั้งวัด,1905-12-09,ได้รับ,1905-12-11,,บ้านกลาง,เมืองปทุมธานี,ปทุมธานี,12000,,,,,,,3,,,,,,,,,
27515,2700511001,มะขาม,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-04-29,ได้รับ,1906-11-05,,คุ้งพยอม,บ้านโป่ง,ราชบุรี,70110,,,,,,,8,,,,,,,,,
27516,4330601001,มะขาม,วัดราษฎร์,มหานิกาย,ตั้งวัด,1905-12-09,ได้รับ,1905-12-11,,ไพรบึง,ไพรบึง,ศรีสะเกษ,33180,,,,,,,5,,,,,,,,,
27517,2150201002,มะขาม,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-04-18,ได้รับ,1906-09-15,,จรเข้ร้อง,ไชโย,อ่างทอง,14140,,,,,,,1,,,,,,,,,
27518,66181040001,มะขามแก้ว,วัดราษฎร์,มหานิกาย,ยกวัดร้าง,2565-11-14,ไม่ได้รับ,-,//,เพหลา,คลองท่อม,กระบี่,81120,,,,,พรุเตย,,3,,,,,,,,,
27519,5901511001,มะขามคลาน,วัดราษฎร์,มหานิกาย,ตั้งวัด,1905-11-30,ได้รับ,1906-01-08,,ม่วงงาม,สิงหนคร,สงขลา,90330,,,,,,,10,,,,,,,,,
27520,2160208007,มะขามคู่,วัดราษฎร์,มหานิกาย,ตั้งวัด,2537-10-26,ไม่ได้รับ,-,,ห้วยขุนราม,พัฒนานิคม,ลพบุรี,18220,,,,,,,6,,,,,,,,,
27521,4311501006,มะขามเจรอะ,วัดราษฎร์,มหานิกาย,ตั้งวัด,2544-12-11,ไม่ได้รับ,-,,จันดุม,พลับพลาชัย,บุรีรัมย์,31250,,,,,,,7,,,เดิมได้รับพระราชทานวิสุงคามสีมา เมื่อปี พ.ศ. 2492,,,,,,
27522,4300113005,มะขามเฒ่า,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-08-06,ได้รับ,2521-10-24,//,บ้านใหม่,เมืองนครราชสีมา,นครราชสีมา,30000,,,,,,,4,,,,,,,,,
27523,2160609003,มะขามเฒ่า,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-08-26,ได้รับ,1906-09-21,,หนองทรายขาว,บ้านหมี่,ลพบุรี,15110,,,,,,,1,,,,,,,,,
27524,5900701004,มะขามเฒ่า,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-07-11,ได้รับ,1906-10-29,,ระโนด,ระโนด,สงขลา,90140,,,,,,,4,,,,,,,,,
27525,2720209002,มะขามเฒ่า,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-10-08,ไม่ได้รับ,-,,หัวนา,เดิมบางนางบวช,สุพรรณบุรี,72120,,,,,,,5,,,,,,,,,
27526,2210803003,มะขามเดี่ยว,วัดราษฎร์,มหานิกาย,ตั้งวัด,2532-05-23,ได้รับ,2563-02-28,//,พนานิคม,นิคมพัฒนา,ระยอง,21180,,,,,,,6,,,,,,,,,
27527,2670208011,มะขามแดงเจริญธรรม,วัดราษฎร์,มหานิกาย,ตั้งวัด,2557-08-22,ไม่ได้รับ,-,,ซับพุทรา,ชนแดน,เพชรบูรณ์,67150,,,,,,,7,,,,,,,,,
27528,3650111004,มะขามเตี้ย,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-10-15,ได้รับ,2482-10-24,,หัวรอ,เมืองพิษณุโลก,พิษณุโลก,65000,,,,,,,8,,,,,,,,,
27529,4450520004,มะขามใต้,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-07-17,ได้รับ,1906-11-22,,บึงนคร,ธวัชบุรี,ร้อยเอ็ด,45170,,,,,,,3,,,,,,,,,
27530,2250801005,มะขามทอง,วัดราษฎร์,มหานิกาย,ตั้งวัด,2544-12-11,ไม่ได้รับ,-,,ศรีมหาโพธิ,ศรีมหาโพธิ,ปราจีนบุรี,25140,,,,,,,7,,,,,,,,,
27531,3650603009,มะขามทอง,วัดราษฎร์,มหานิกาย,ตั้งวัด,2550-04-20,ไม่ได้รับ,-,,วงฆ้อง,พรหมพิราม,พิษณุโลก,65180,,,,,,,10,,,,,,,,,
